stock,date,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change,cap,size
abnb,12-18-2020,-,-,-1.76,13.50%,613.43M,-9.04%,91.05B,-,-0.72,0.00%,101.58M,-,-1048.40M,-,-2.79,4.69%,1.66%,-,3.63B,25.11,-,-,0.10,-,-,-,89.30%,-,123.25,-,7.33,20.26,-,-,121.50 - 174.97,2.57%,-,-,-,95.80%,-17.15%,-,-,1.60,-,52.50%,19.32%,14.32,5465,1.60,-18.40%,-22.80%,-,7.13% -,Yes,-,-17.70%,-28.90%,0.17,148.43,Yes,-,-,-,16.35M,144.97,2.60,-1.84%,-1.84%,-1.84%,"1,443,782",-2.33%,large,91050000000.0
abr,12-18-2020,-,18.81,0.75,1.30%,113.77M,1.36%,1.75B,9.04,1.56,0.00%,109.10M,6.08%,102.30M,2.35,0.42,41.50%,4.66%,23.19%,543.60M,3.22,-14.30%,1.51%,3.62,56.48%,9.70,1.46,35.09%,1.60%,14.20,-1.53%,1.55,9.11,8.00%,9.70%,3.54 - 15.32,-1.53%,1.28,-,-5.50%,2.50%,-7.89%,1.86,9.06%,-,30.60%,67.40%,298.62%,0.38,532,-,10.80%,16.80%,55.01,2.13% 2.74%,Yes,4.63,73.90%,18.80%,0.60,14.13,Yes,4.63,Oct 30 BMO,129.70%,1.40M,14.11,2.00,0.27%,6.33%,39.51%,"431,584",-0.13%,large,1750000000.0
abst,12-18-2020,-,-,-,0.43%,48.78M,-2.62%,580.94M,-,-,0.00%,34.17M,15.63%,-,-,-,55.89%,1.86%,4.84%,107.51M,5.40,-,-,6.37,20.06%,-,-,-,-,-,91.48%,-,-,-,-,4.90 - 13.95,79.37%,0.25,-,-,-,-14.19%,-,2.10%,-,-,-,144.29%,0.44,520,-,11.10%,-,61.23,4.23% 3.60%,No,-,-24.60%,-,0.50,11.91,Yes,-,-,-,99.49K,11.97,-,7.78%,8.16%,20.36%,"25,400",0.50%,small,580940000.0
abt,12-18-2020,S&P 500,57.68,1.88,0.20%,1.77B,0.15%,190.60B,24.62,4.41,-6.79%,1.76B,0.20%,3.35B,4.34,1.35,75.70%,0.50%,-0.36%,32.22B,5.92,45.20%,0.43%,1.85,18.33%,17.69,6.13,23.94%,5.00%,120.47,24.84%,2.69,40.29,13.28%,11.00%,61.61 - 115.14,24.84%,1.80,90.76,12.40%,8.20%,-5.80%,0.83,1.66%,1.20,9.50%,56.80%,76.04%,1.84,107000,1.70,9.60%,13.50%,51.57,1.44% 1.59%,Yes,0.59,28.10%,10.50%,0.27,108.44,Yes,0.58,Oct 21 BMO,73.30%,4.79M,108.46,1.90,0.73%,-0.30%,9.73%,"671,720",0.02%,large,190600000000.0
abtx,12-18-2020,-,16.01,2.11,0.70%,20.44M,3.53%,688.23M,14.05,2.40,-14.52%,18.78M,6.66%,43.60M,-,0.71,46.30%,1.63%,44.50%,236.90M,2.91,4.50%,-1.19%,5.23,41.36%,36.84,0.92,11.87%,0.80%,32.50,-10.19%,17.51,1.93,-,6.00%,20.88 - 38.95,-10.19%,0.40,18.60,14.40%,17.90%,-13.27%,1.19,1.18%,-,34.80%,-,61.78%,1.13,587,-,3.60%,80.80%,55.42,2.95% 3.11%,Yes,0.35,39.00%,18.40%,0.33,33.77,Yes,0.35,Oct 29 BMO,14.10%,58.68K,33.78,3.00,-0.37%,7.18%,28.35%,"10,023",0.03%,small,688230000.0
abus,12-18-2020,-,-,-1.24,1.60%,79.49M,-7.92%,330.56M,-,-0.83,-4.05%,60.90M,-17.88%,-83.20M,-,-0.23,31.10%,4.84%,18.85%,6.10M,54.19,-137.80%,-6.11%,0.98,103.28%,-0.62,-,15.30%,-76.20%,-,33.81%,1.33,2.79,-,128.90%,0.88 - 9.02,33.81%,-,-,-9.90%,203.20%,-60.75%,3.22,-,15.90,-16.70%,-,302.27%,0.42,80,15.90,-51.60%,-,44.02,7.22% 11.10%,Yes,-,81.70%,-,0.90,3.72,Yes,-,Nov 05 BMO,-,3.00M,3.54,2.00,-12.62%,-1.48%,32.59%,"1,380,462",-4.84%,small,330560000.0
ac,12-18-2020,-,-,-0.93,0.50%,22.35M,1.68%,801.09M,-,-,7.96%,3.26M,-6.88%,-20.80M,-,-,74.80%,1.58%,-1.41%,23.60M,33.94,169.10%,-0.66%,5.78,1.04%,38.12,0.93,-,-11.00%,-,-8.60%,2.10,16.94,-,-12.60%,24.19 - 65.08,-8.60%,0.20,-,71.70%,-3.10%,-44.56%,1.33,0.56%,-,8.30%,-,49.17%,1.34,39,-,-32.10%,-38.00%,49.86,2.32% 3.59%,No,0.02,-4.20%,-,0.58,35.62,Yes,0.00,-,-,8.93K,36.08,-,-0.38%,0.49%,-0.20%,"2,644",1.29%,small,801090000.0
aca,12-18-2020,-,22.81,2.40,0.10%,48.10M,1.00%,2.65B,23.20,2.36,0.00%,47.98M,5.43%,116.30M,4.65,0.41,90.50%,1.15%,24.09%,1.92B,1.38,52.80%,0.78%,2.19,33.11%,39.12,1.40,-6.58%,4.60%,57.40,22.81%,3.90,14.04,4.90%,6.30%,28.14 - 57.26,22.81%,0.20,9.63,-6.30%,6.30%,-3.88%,-,0.37%,1.40,-2.50%,19.50%,95.59%,1.57,6275,2.40,10.10%,8.60%,56.36,2.27% 2.56%,Yes,0.14,-4.70%,6.00%,0.15,54.71,Yes,0.13,Oct 28 AMC,8.30%,252.04K,55.04,2.00,1.46%,5.73%,25.18%,"19,473",0.60%,large,2650000000.0
acad,12-18-2020,-,-,-1.71,0.38%,158.13M,-3.42%,8.55B,-,-1.01,-6.81%,116.72M,-5.24%,-267.90M,-,-0.47,96.70%,6.02%,30.16%,419.10M,20.40,17.50%,-0.96%,7.15,6.76%,4.14,12.97,45.10%,-34.70%,60.37,25.50%,4.05,13.26,25.00%,-40.30%,30.02 - 58.72,25.50%,-,-,-10.90%,-35.40%,-8.92%,1.46,-,7.90,390.00%,95.10%,78.16%,1.82,580,7.90,27.50%,-65.80%,50.37,3.27% 3.53%,Yes,0.00,-86.10%,-63.90%,0.36,53.69,Yes,0.00,Nov 04 AMC,-,983.39K,53.49,1.60,-0.69%,4.00%,15.20%,"182,143",-0.38%,large,8550000000.000001
acam,12-18-2020,-,516.36,0.02,-,38.20M,9.13%,434.29M,-,-,-,30.56M,11.37%,0.80M,-,-,90.80%,0.99%,10.94%,-,-,-,2.88%,0.35,10.83%,7.87,1.44,-,0.30%,-,15.33%,0.01,1085.73,-,0.30%,9.50 - 11.74,13.71%,-,-,-,-,-4.77%,-,-,7.40,-,-,17.68%,0.25,-,7.40,-,-,72.18,4.90% 2.02%,No,0.00,-115.60%,-,1.92,11.36,Yes,0.00,-,0.00%,864.27K,11.18,-,6.55%,8.73%,9.95%,"846,579",-1.58%,small,434290000.0
acb,12-18-2020,-,40.65,0.22,0.20%,183.66M,-1.68%,1.61B,-,-,0.00%,160.14M,-24.83%,-,-,-,14.30%,22.82%,88.82%,-,-,-,-,0.94,-28.44%,3.44,2.55,-,-,-,-66.13%,-,-,-,-,3.71 - 27.84,-66.13%,-,-,-,-,-69.77%,-,-,-,-,-,126.82%,0.87,2731,-,-8.00%,-,45.18,7.61% 8.99%,Yes,-,-,-,0.21,8.78,Yes,-,Nov 09 BMO,-,38.95M,8.41,-,-13.59%,5.80%,-10.37%,"4,301,086",-4.16%,large,1610000000.0
acbi,12-18-2020,-,17.53,0.91,0.60%,21.50M,4.40%,328.97M,12.03,1.32,4.64%,19.70M,13.25%,19.70M,1.67,0.39,87.30%,1.01%,40.09%,100.60M,3.27,11.60%,-2.29%,2.25,39.35%,15.83,1.00,38.00%,0.70%,17.50,-13.35%,6.78,2.34,10.50%,5.90%,8.89 - 20.21,-13.35%,-,5.20,16.80%,18.70%,-21.23%,0.90,-,-,23.70%,-,79.08%,0.57,202,-,-8.70%,83.50%,57.67,2.93% 3.44%,No,0.22,20.70%,19.60%,0.15,15.90,Yes,0.22,Oct 22 AMC,0.00%,88.52K,15.92,2.20,2.76%,6.13%,29.33%,"6,915",0.13%,small,328970000.0
acc,12-18-2020,-,82.97,0.51,0.20%,137.63M,-3.33%,5.66B,141.92,0.30,-30.88%,136.69M,5.90%,70.60M,4.71,0.13,-,3.09%,20.70%,893.50M,6.33,-28.40%,2.68%,4.26,15.80%,22.91,1.84,-18.63%,0.90%,44.25,-10.38%,0.33,127.48,17.62%,2.20%,20.13 - 49.01,-10.38%,1.88,72.47,1.50%,3.00%,-13.83%,0.88,4.46%,-,5.10%,51.80%,109.81%,1.15,3096,-,-11.00%,20.90%,51.29,2.95% 2.75%,Yes,1.14,-201.90%,7.90%,0.34,42.15,Yes,1.14,Oct 26 AMC,365.80%,990.63K,42.24,2.40,-1.09%,3.94%,19.54%,"175,448",0.20%,large,5660000000.0
accd,12-18-2020,-,-,-1.20,1.30%,55.04M,-14.96%,2.65B,-,-0.74,0.00%,35.15M,-11.50%,-49.80M,-,-0.36,45.90%,8.69%,18.19%,146.80M,18.08,9.10%,-,8.19,-,5.82,7.89,60.20%,-37.60%,50.00,-,3.85,11.95,28.80%,33.50%,28.68 - 65.25,54.68%,-,-,-,20.50%,-34.45%,-,-,3.50,-,43.60%,49.13%,4.64,1238,3.50,23.90%,-30.10%,39.02,9.37% 10.29%,Yes,0.00,-45.60%,-33.90%,1.13,45.94,Yes,0.00,Jan 07 AMC,-,372.79K,42.77,1.70,-17.94%,-5.81%,8.41%,"217,297",-6.90%,large,2650000000.0
acco,12-18-2020,-,10.73,0.78,0.40%,94.50M,-4.24%,784.40M,8.19,1.02,-38.66%,91.78M,9.01%,75.70M,1.07,0.28,93.50%,4.50%,43.97%,1.73B,0.45,3.00%,-1.35%,6.83,27.68%,7.67,1.09,55.02%,2.80%,12.00,-10.79%,0.91,9.14,10.00%,10.30%,3.51 - 11.38,-10.79%,0.26,6.92,6.10%,8.80%,-25.48%,2.29,3.11%,1.00,3.00%,30.90%,141.60%,0.32,7000,1.60,-12.20%,8.00%,55.99,3.37% 3.56%,Yes,1.26,-30.50%,4.40%,0.48,8.35,Yes,1.21,Oct 27 AMC,33.00%,605.27K,8.48,1.60,-0.40%,13.60%,29.29%,"149,525",1.56%,small,784400000.0
acel,12-18-2020,-,-,-0.40,5.50%,78.32M,-4.68%,942.57M,17.18,0.59,-3.34%,50.77M,-2.39%,-29.60M,-,0.17,66.10%,4.81%,-4.86%,530.00M,1.78,-177.70%,26.81%,6.35,8.29%,0.83,12.28,129.84%,-5.90%,14.38,-18.48%,1.79,5.69,21.68%,-18.50%,5.22 - 15.11,-18.48%,-,-,-,1.60%,-32.03%,1.28,-,3.60,-,35.90%,96.74%,0.56,730,3.60,-99.60%,-0.90%,49.15,5.14% 5.52%,Yes,6.14,-488.60%,-5.60%,0.50,10.19,Yes,5.86,Nov 05 BMO,-,384.54K,10.27,2.20,1.27%,-1.03%,3.27%,"99,104",0.79%,small,942570000.0
acer,12-18-2020,-,-,-2.07,16.30%,11.51M,3.49%,32.44M,-,-1.65,12.73%,9.19M,-0.74%,-21.80M,-,-0.41,37.50%,4.53%,-7.29%,-,-,-17.20%,-1.77%,3.37,-16.56%,0.91,2.93,14.90%,-128.70%,-,-33.42%,0.51,5.23,-,-161.00%,1.08 - 7.25,-33.42%,-,-,42.10%,-,-63.45%,1.70,-,1.60,-,-,145.39%,0.17,17,1.60,-,-,53.29,5.54% 6.97%,Yes,0.00,1.00%,-,0.65,2.67,Yes,0.00,-,-,123.49K,2.65,2.50,4.52%,0.62%,-7.23%,"41,832",-0.74%,small,32439999.999999996
acet,12-18-2020,-,-,-12.56,0.40%,5.21M,-3.49%,275.74M,-,-3.38,0.00%,3.26M,14.27%,-56.60M,-,-0.82,47.00%,4.56%,18.50%,12.50M,22.06,-69.50%,282.46%,2.55,-2.29%,22.45,0.63,-1.20%,-36.20%,-,35.09%,5.53,2.55,29.10%,-68.50%,6.02 - 21.70,35.09%,-,-,-,-,-37.14%,-,-,3.60,-,-,126.58%,0.94,18,3.60,-,-,51.19,5.41% 8.19%,Yes,0.00,58.70%,-,0.58,14.09,Yes,0.00,Nov 05 AMC,-,58.27K,13.64,1.70,0.18%,7.10%,2.51%,"17,639",-3.19%,small,275740000.0
acev,12-18-2020,-,-,-,-,23.00M,-0.20%,234.60M,-,-,-,-,3.55%,-,-,-,35.71%,-,-,-,-,-,-,1.39,-,-,-,-,-,-,-,-,-,-,-,9.60 - 11.00,4.29%,-,-,-,-,-6.87%,-,-,-,-,-,6.71%,0.23,-,-,-,-,63.60,3.00% 2.43%,No,-,-,-,0.32,10.20,Yes,-,-,-,84.10K,10.24,-,1.52%,3.70%,3.93%,"13,907",0.43%,small,234600000.0
acgl,12-18-2020,-,12.75,2.79,2.93%,402.85M,2.89%,14.54B,12.74,2.79,0.00%,394.15M,10.51%,1.15B,2.41,0.47,89.60%,0.93%,21.64%,7.80B,1.86,124.20%,0.63%,1.80,26.39%,28.97,1.23,120.54%,2.90%,39.40,-17.04%,2.39,14.89,5.30%,10.40%,20.93 - 48.32,-17.04%,-,5.19,14.10%,13.10%,-25.86%,0.79,-,-,11.20%,-,71.17%,0.91,4300,-,31.20%,17.90%,62.01,1.90% 2.73%,Yes,0.26,8.00%,14.70%,0.43,35.58,Yes,0.26,Oct 27 AMC,0.00%,2.04M,35.83,2.20,4.32%,7.46%,18.83%,"454,162",0.69%,large,14540000000.0
ach,12-18-2020,-,-,-0.02,-,680.91M,1.53%,8.55B,-,-,-,429.49M,-11.91%,-10.70M,-,-,1.60%,0.00%,66.35%,27.41B,0.31,8.10%,2.82%,0.21,85.62%,12.28,0.70,-,0.00%,14.51,-0.46%,2.01,4.31,-,-0.10%,4.60 - 9.95,-0.46%,-,16.12,15.20%,3.70%,-12.87%,1.75,-,0.50,6.00%,5.80%,88.48%,0.33,63935,0.70,2.10%,2.80%,52.82,1.05% 1.43%,Yes,1.85,-113.00%,0.00%,0.63,8.65,Yes,1.10,-,-,76.45K,8.67,-,-2.63%,13.76%,42.92%,"24,832",0.23%,large,8550000000.000001
achc,12-18-2020,-,44.43,1.13,0.10%,87.91M,3.84%,4.45B,18.45,2.73,0.00%,87.15M,18.49%,100.30M,3.50,0.70,-,7.05%,70.62%,3.15B,1.41,161.50%,-2.56%,10.62,97.33%,29.65,1.70,16.69%,1.50%,44.85,51.41%,3.83,13.14,12.71%,4.00%,11.09 - 50.99,51.41%,-,7.60,-3.80%,5.20%,-2.63%,1.47,-,1.20,25.30%,-,347.70%,1.46,28400,1.30,7.20%,9.10%,67.57,2.49% 3.33%,Yes,1.22,-14.10%,3.20%,0.65,50.30,Yes,1.18,Oct 29 AMC,0.00%,578.85K,49.65,2.10,5.79%,19.26%,63.29%,"196,277",-1.29%,large,4450000000.0
achv,12-18-2020,-,-,-8.76,0.48%,6.09M,7.75%,47.81M,-,-5.30,0.00%,3.40M,-4.87%,-13.20M,-,-1.28,9.40%,14.63%,-2.03%,-,-,45.00%,0.37%,2.41,2.78%,7.81,1.05,9.40%,-64.50%,-,-22.63%,-,-,-,-72.10%,4.51 - 18.26,-22.63%,-,-,-,-,-55.91%,1.73,-,13.00,-,-,78.30%,0.49,14,13.00,-,-,49.78,6.34% 5.63%,No,0.00,87.40%,-,0.39,8.20,Yes,0.00,Nov 12 AMC,-,206.39K,8.05,1.70,3.97%,-3.46%,-4.37%,"41,367",-1.83%,small,47810000.0
aci,12-18-2020,-,7.85,2.15,15.40%,477.30M,6.58%,7.86B,9.86,1.71,0.05%,221.06M,5.12%,993.30M,0.50,0.42,54.00%,8.88%,21.66%,68.05B,0.12,201.00%,-3.54%,7.10,6.92%,3.15,5.35,-38.48%,3.90%,20.47,-,5.12,3.29,15.75%,53.80%,12.91 - 17.57,9.06%,0.40,3.78,16.90%,10.90%,-0.51%,-,2.37%,0.50,18.10%,29.00%,35.40%,0.48,270000,1.10,11.20%,2.90%,75.58,3.86% 3.02%,Yes,5.85,-54.00%,1.50%,0.80,16.85,Yes,5.63,Oct 20 BMO,0.00%,2.76M,17.48,1.90,12.89%,13.61%,17.50%,"1,139,952",3.74%,large,7860000000.0
acia,12-18-2020,-,45.71,1.60,0.20%,42.06M,1.49%,3.07B,24.86,2.93,-11.11%,38.82M,4.62%,68.80M,-,0.77,92.90%,7.14%,8.16%,548.00M,5.60,559.20%,0.49%,4.56,8.43%,15.72,4.64,6.81%,9.00%,70.00,7.51%,10.82,6.74,-12.00%,11.10%,60.62 - 72.95,7.51%,-,40.14,73.90%,3.90%,-0.15%,0.76,-,4.30,26.00%,48.40%,20.16%,0.50,429,4.60,32.50%,10.60%,82.64,0.80% 0.69%,Yes,0.00,58.70%,12.60%,0.57,72.90,Yes,0.00,-,0.00%,607.55K,72.84,2.70,2.67%,4.84%,6.96%,"179,920",-0.08%,large,3070000000.0
acic,12-18-2020,-,-,-,-,50.00M,1.80%,510.00M,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.73 - 11.82,2.31%,-,-,-,-,-13.96%,-,-,-,-,-,4.52%,0.50,-,-,-,-,-,5.87% -,No,-,-,-,1.29,10.20,Yes,-,-,-,130.28K,10.17,-,0.43%,0.43%,0.43%,"86,947",-0.29%,small,510000000.0
aciu,12-18-2020,-,-,-0.97,46.99%,71.93M,-6.90%,368.13M,-,-0.77,0.00%,37.91M,-7.40%,-69.70M,-,-0.32,29.40%,3.38%,5.12%,17.90M,20.57,177.60%,1.84%,4.10,-25.11%,3.65,1.41,21.60%,-22.10%,-,-39.79%,3.87,1.33,-,-24.20%,4.07 - 13.00,-39.79%,-,-,26.30%,16.20%,-60.54%,0.83,-,18.10,29.70%,-,26.04%,0.24,115,18.10,-96.70%,-,44.89,3.79% 4.72%,Yes,0.01,-204.80%,-,0.28,5.13,Yes,0.01,-,-,312.76K,5.13,1.70,-2.35%,-0.26%,-20.87%,"45,559",0.00%,small,368130000.0
aciw,12-18-2020,-,75.32,0.51,0.90%,116.56M,1.42%,4.43B,45.07,0.85,-7.82%,114.18M,18.14%,61.00M,6.28,0.33,-,3.87%,47.30%,1.31B,3.39,19.00%,0.22%,4.20,42.56%,9.63,4.00,125.93%,1.90%,42.86,1.60%,1.16,33.14,12.00%,5.50%,20.03 - 39.99,1.60%,-,19.94,-0.50%,4.70%,-3.75%,1.25,-,1.50,4.40%,50.70%,92.16%,1.07,4018,1.50,-11.00%,11.10%,61.73,2.07% 3.07%,Yes,1.13,-49.90%,4.70%,0.36,38.49,Yes,1.10,Nov 05 BMO,0.00%,1.05M,38.49,1.40,-0.06%,11.84%,33.75%,"197,011",0.00%,large,4430000000.0
acls,12-18-2020,-,21.93,1.32,0.50%,33.48M,0.14%,958.86M,18.39,1.58,-23.29%,32.85M,7.60%,45.00M,1.10,0.21,86.30%,2.06%,31.95%,460.10M,2.08,-63.80%,0.56%,2.62,6.85%,13.76,2.11,26.93%,7.90%,35.17,20.48%,6.42,4.52,20.00%,10.30%,12.99 - 31.50,20.48%,-,17.15,26.50%,4.30%,-7.79%,1.42,-,4.00,11.10%,41.30%,123.60%,0.76,960,6.30,58.80%,12.40%,58.16,2.57% 2.60%,Yes,0.10,1432.00%,9.80%,0.51,29.03,Yes,0.10,Nov 05 AMC,0.00%,258.66K,29.05,1.80,0.70%,10.00%,17.13%,"68,065",0.05%,small,958860000.0
acm,12-18-2020,-,46.63,1.06,0.70%,160.02M,3.21%,7.44B,16.08,3.08,-2.01%,149.07M,-4.66%,170.50M,3.51,0.57,94.30%,1.89%,18.24%,13.24B,0.56,-19.60%,-1.56%,1.85,36.32%,20.58,2.40,15.73%,-1.40%,58.22,14.70%,-,-,13.30%,-5.20%,21.76 - 53.21,14.70%,-,34.61,24.90%,6.30%,-6.16%,1.62,-,1.20,-5.90%,5.40%,129.46%,1.13,54000,1.20,1.60%,2.90%,57.31,1.58% 2.27%,Yes,0.63,-100.10%,-1.40%,0.32,49.47,Yes,0.62,Nov 16 BMO,-,1.52M,49.93,1.60,1.94%,3.14%,25.23%,"254,340",0.93%,large,7440000000.0
acmr,12-18-2020,-,120.60,0.67,2.50%,18.05M,10.56%,1.50B,50.53,1.60,-46.76%,11.66M,-2.20%,14.20M,6.03,0.25,39.00%,9.21%,16.93%,135.70M,11.03,169.00%,0.50%,3.87,33.22%,4.98,16.22,54.34%,8.60%,-,337.94%,4.66,17.33,20.00%,19.90%,15.95 - 113.87,337.94%,-,97.22,-,16.50%,-29.19%,-,-,1.60,-,46.00%,405.52%,5.13,361,2.10,34.50%,12.30%,57.46,9.56% 6.33%,Yes,0.29,-101.90%,13.80%,1.07,80.80,Yes,0.00,Nov 05 AMC,0.00%,277.62K,80.63,2.00,7.42%,4.30%,18.17%,"154,271",-0.21%,large,1500000000.0
acn,12-18-2020,S&P 500,31.57,8.16,0.10%,634.27M,-0.74%,170.36B,28.42,9.06,-13.97%,633.26M,3.39%,5.25B,3.18,1.89,74.40%,0.67%,13.96%,44.73B,3.81,7.30%,0.01%,2.27,20.01%,28.23,9.12,10.18%,14.60%,279.56,22.31%,13.12,19.63,9.93%,31.60%,137.15 - 271.18,22.31%,3.52,26.83,10.60%,28.90%,-4.69%,1.08,1.37%,1.50,6.10%,31.80%,88.45%,4.83,506000,1.50,3.50%,14.80%,59.59,1.24% 1.55%,Yes,0.00,11.00%,11.70%,0.33,257.54,Yes,0.00,Dec 17 BMO,39.70%,1.86M,258.46,2.20,1.95%,6.48%,19.56%,"320,539",0.36%,large,170360000000.0
acnb,12-18-2020,-,12.44,2.02,2.70%,8.70M,-1.37%,220.82M,-,-,4.56%,8.39M,0.96%,16.40M,-,-,23.60%,0.94%,20.91%,81.30M,2.72,8.70%,-4.25%,5.80,-0.44%,29.53,0.85,-,0.70%,-,-33.50%,34.51,0.73,-,6.90%,19.00 - 37.87,-33.50%,1.00,15.33,14.40%,28.10%,-33.61%,0.11,3.98%,-,13.10%,-,32.32%,1.03,374,-,20.30%,74.50%,46.10,2.75% 3.81%,No,0.00,-12.80%,20.20%,0.29,25.15,Yes,0.00,-,49.50%,13.63K,25.14,-,-4.50%,2.18%,5.92%,"2,054",-0.04%,small,220820000.0
acor,12-18-2020,-,0.77,0.92,1.50%,47.71M,2.10%,35.30M,-,-2.30,0.00%,47.15M,6.32%,49.10M,0.03,-0.52,50.90%,5.54%,37.86%,165.30M,0.21,6.40%,-15.76%,0.52,-1.39%,6.57,0.11,-42.90%,6.60%,-,-65.20%,1.27,0.56,29.00%,16.10%,0.42 - 2.77,-65.20%,-,-,16.45%,-48.20%,-72.92%,0.75,-,0.90,-13.70%,81.00%,77.56%,0.06,344,1.10,11.30%,42.30%,51.07,7.53% 10.04%,Yes,0.73,100.80%,29.70%,3.25,0.71,Yes,0.52,Nov 03 AMC,0.00%,4.99M,0.75,2.70,0.15%,-5.90%,-2.27%,"8,402,431",5.63%,small,35300000.0
acp,12-18-2020,-,-,-,0.06%,17.43M,-0.05%,188.62M,-,-,0.00%,-,4.54%,-,-,-,17.49%,-,9.07%,-,-,-,-,0.40,18.25%,-,-,-,-,-,-5.99%,-,-,-,-,5.30 - 12.24,-5.99%,1.20,-,-,-,-12.33%,-,11.09%,-,-,-,102.47%,0.17,-,-,-,-,55.65,1.08% 1.68%,No,-,-,-,1.48,10.82,Yes,-,-,-,88.61K,10.73,-,-0.35%,5.66%,15.96%,"68,102",-0.82%,small,188620000.0
acre,12-18-2020,-,22.09,0.53,9.52%,33.34M,-1.35%,392.64M,8.88,1.32,0.00%,30.33M,5.12%,17.10M,-,0.34,57.20%,1.63%,28.12%,138.60M,2.83,-4.80%,-4.35%,1.73,33.98%,14.08,0.83,1.54%,0.90%,12.05,-26.07%,2.42,4.83,-1.81%,3.70%,2.78 - 17.72,-26.07%,1.32,-,10.20%,2.10%,-33.07%,1.36,11.27%,-,14.50%,53.20%,326.62%,0.46,1200,-,-2.30%,12.70%,51.31,3.42% 3.61%,Yes,3.11,42.20%,12.30%,0.42,11.71,Yes,3.11,Oct 29 BMO,245.80%,285.85K,11.86,2.20,-1.76%,8.13%,29.94%,"61,625",1.28%,small,392640000.0
acrs,12-18-2020,-,-,-1.36,3.70%,42.80M,-5.56%,283.00M,-,-0.85,0.00%,36.88M,98.20%,-57.00M,-,-0.27,63.90%,1.31%,157.59%,6.00M,47.17,-10.10%,-9.62%,0.69,301.21%,0.95,6.97,26.70%,-64.10%,5.83,250.26%,1.25,5.30,-,-103.50%,0.70 - 7.95,250.26%,-,-,-57.10%,-158.70%,-19.25%,1.09,-,-,-,18.70%,817.14%,0.66,77,4.50,40.00%,-,65.60,14.14% 13.44%,Yes,0.27,55.50%,-,0.27,6.62,Yes,0.26,Nov 04 BMO,-,697.71K,6.42,1.20,25.17%,50.28%,156.31%,"98,167",-3.02%,small,283000000.0
acrx,12-18-2020,-,-,-0.56,2.11%,90.48M,1.63%,127.36M,-,-0.24,0.00%,88.61M,-16.67%,-45.90M,-,-0.10,22.80%,8.75%,-11.97%,5.20M,24.49,16.70%,24.30%,5.09,5.93%,-0.66,-,50.00%,-60.70%,-,-40.76%,0.42,2.96,-,85.50%,0.70 - 2.18,-40.76%,-,-,2.60%,340.90%,-43.35%,1.20,-,2.80,-15.20%,-23.20%,76.08%,0.09,25,2.90,133.30%,-,39.61,9.18% 6.92%,Yes,-,36.60%,-,0.89,1.25,Yes,-,Nov 05 AMC,-,1.52M,1.24,2.00,-7.42%,-17.83%,-9.90%,"701,586",-1.20%,small,127360000.0
acst,12-18-2020,-,-,-0.07,8.64%,96.89M,43.00%,34.64M,-,-0.35,0.00%,93.53M,23.28%,-,-,-0.16,1.66%,0.54%,78.57%,-,-,30.30%,-,0.03,-31.54%,0.09,3.89,34.00%,-,-,-85.41%,-,-,-,-,0.17 - 2.54,-85.41%,-,-,-,-,-87.20%,-,-,-,-,-,90.06%,0.06,32,-,-,-,54.71,32.39% 16.20%,No,-,-,-,1.91,0.36,No,-,-,-,18.52M,0.32,2.00,10.68%,31.08%,-28.88%,"18,285,941",-9.09%,small,34640000.0
actg,12-18-2020,-,17.58,0.23,1.90%,48.47M,0.25%,197.07M,11.40,0.35,1.59%,46.31M,8.13%,25.20M,0.88,-0.01,67.40%,2.10%,14.99%,26.10M,7.55,83.30%,0.73%,3.72,-1.48%,4.14,0.96,225.00%,4.00%,6.00,50.00%,6.14,0.65,20.00%,7.30%,1.75 - 4.46,50.00%,-,65.69,23.90%,-17.20%,-11.40%,0.81,-,2.60,-38.80%,73.00%,125.81%,0.21,17,2.60,1037.70%,-63.90%,56.77,5.19% 5.10%,Yes,0.57,320.60%,48.50%,0.46,3.99,Yes,0.00,Nov 09 BMO,0.00%,261.12K,3.95,-,2.92%,8.48%,16.26%,"62,835",-0.96%,small,197070000.0
